x,y
1,45
2,70
3,75
4,71
5,73
6,87
7,75
8,86
9,100
10,102
11,111
12,103
13,119
14,125
15,135
16,128
17,145
18,132
19,150
20,147
21,156
22,170
23,161
24,168
25,176
26,179
27,177
28,188
29,188
30,194
31,214
32,203
33,220
34,214
35,223
36,234
37,244
38,242
39,238
40,245
41,254
42,264
43,260
44,262
45,265
46,278
47,282
48,286
49,289
50,308
51,295
52,300
53,314
54,312
55,322
56,322
57,328
58,344
59,346
60,342
61,365
62,358
63,372
64,362
65,369
66,370
67,390
68,381
69,403
70,410
71,412
72,418
73,407
74,419
75,435
76,424
77,442
78,450
79,455
80,457
81,448
82,455
83,473
84,461
85,469
86,486
87,483
88,481
89,498
90,498
91,511
92,518
93,516
94,524
95,532
96,536
97,528
98,537
99,554
100,557
